第一申请人城市_原值,第一申请人城市标准化,省级地区,城市映射状态,专利数
临汾,临汾,山西,城市映射成功,2
丹东,丹东,辽宁,城市映射成功,2
丽水,丽水,浙江,城市映射成功,2
临沧,临沧,云南,城市映射成功,2
济源市,济源,河南,城市映射成功,2
天水市,天水,甘肃,城市映射成功,2
佳木斯市,佳木斯,黑龙江,城市映射成功,2
保山市,保山,云南,城市映射成功,2
信阳,信阳,河南,城市映射成功,2
克拉玛依,克拉玛依,新疆,城市映射成功,2
万宁,万宁,海南,城市映射成功,2
长治市,长治,山西,城市映射成功,2
铜陵市,铜陵,安徽,城市映射成功,2
潮州,潮州,广东,城市映射成功,2
衡水市,衡水,河北,城市映射成功,2
崇左市,崇左,广西,城市映射成功,2
阜阳,阜阳,安徽,城市映射成功,2
延安,延安,陕西,城市映射成功,2
德阳,德阳,四川,城市映射成功,2
甘孜藏族自治州,甘孜藏族自治州,四川,城市映射成功,2
承德,承德,河北,城市映射成功,2
莆田,莆田,福建,城市映射成功,2
百色,百色,广西,城市映射成功,2
石嘴山,石嘴山,宁夏,城市映射成功,2
百色市,百色,广西,城市映射成功,2
揭阳市,揭阳,广东,城市映射成功,2
新余,新余,江西,城市映射成功,2
红河哈尼族彝族自治州,红河哈尼族彝族自治州,云南,城市映射成功,2
乌兰察布,乌兰察布,内蒙古,城市映射成功,2
喀什地区,喀什地区,新疆,城市映射成功,2
松原市,松原,吉林,城市映射成功,2
大同市,大同,山西,城市映射成功,2
大同,大同,山西,城市映射成功,2
武威,武威,甘肃,城市映射成功,2
榆林,榆林,陕西,城市映射成功,2
梧州,梧州,广西,城市映射成功,2
柳州,柳州,广西,城市映射成功,2
凉山彝族自治州,凉山彝族自治州,四川,城市映射成功,2
仙桃市,仙桃,湖北,城市映射成功,2
南平,南平,福建,城市映射成功,2
北海市,北海,广西,城市映射成功,2
内江,内江,四川,城市映射成功,2
内江市,内江,四川,城市映射成功,2
哈密,哈密,新疆,城市映射成功,2
吕梁市,吕梁,山西,城市映射成功,2
安顺市,安顺,贵州,城市映射成功,2
定西,定西,甘肃,城市映射成功,2
高雄市,高雄,台湾,城市映射成功,2
陵水黎族自治县,陵水黎族自治县,海南,城市映射成功,2
平凉,平凉,甘肃,城市映射成功,2
防城港,防城港,广西,城市映射成功,2
娄底,娄底,湖南,城市映射成功,2
阜新市,阜新,辽宁,城市映射成功,2
宁德,宁德,福建,城市映射成功,2
平顶山,平顶山,河南,城市映射成功,2
黔南,黔南,贵州,城市映射成功,2
,,土耳其,境外申请人,2
鹰潭市,鹰潭,江西,城市映射成功,2
黔东南,黔东南,贵州,城市映射成功,2
遂宁,遂宁,四川,城市映射成功,2
遂宁市,遂宁,四川,城市映射成功,2
萍乡市,萍乡,江西,城市映射成功,2
酒泉,酒泉,甘肃,城市映射成功,1
铁岭市,铁岭,辽宁,城市映射成功,1
郴州,郴州,湖南,城市映射成功,1
铁岭,铁岭,辽宁,城市映射成功,1
万宁市,万宁,海南,城市映射成功,1
丽江,丽江,云南,城市映射成功,1
锡林郭勒盟,锡林郭勒盟,内蒙古,城市映射成功,1
临夏回族自治州,临夏回族自治州,甘肃,城市映射成功,1
阿坝,阿坝,四川,城市映射成功,1
阿勒泰,阿勒泰,新疆,城市映射成功,1
,,,缺少城市信息,1
临沧市,临沧,云南,城市映射成功,1
临汾市,临汾,山西,城市映射成功,1
丽江市,丽江,云南,城市映射成功,1
,,马来西亚,境外申请人,1
濮阳市,濮阳,河南,城市映射成功,1
澳门,澳门,澳门,城市映射成功,1
澄迈,澄迈,海南,城市映射成功,1
湘西土家族苗族自治州,湘西土家族苗族自治州,湖南,城市映射成功,1
河源市,河源,广东,城市映射成功,1
海西蒙古族藏族自治州,海西蒙古族藏族自治州,青海,城市映射成功,1
