第一申请人,申请人省市代码,first_year,last_year,quantum_patent_count,quantum_score_sum,quantum_score_mean,main_categories,chain_positions,matched_terms,high_related_count,medium_related_count,low_related_count,timefreq_candidate_count,main_chain_position,main_quantum_category,firm_relevance
中车永济电机有限公司,山西; 14,2022,2022,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率基准,0,0,0,1,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
中通服咨询设计研究院有限公司,江苏; 32,2021,2021,1,10,10.0,量子通信与安全,量子通信与安全,量子密钥；量子密钥分发；量子网络,1,0,0,0,量子通信与安全,量子通信与安全,较高相关企业
中量科(南京)科技有限公司,江苏; 32,2023,2023,2,20,10.0,量子通信与安全,量子通信与安全,量子密钥；量子密钥分发；量子计算；量子计算机,2,0,0,0,量子通信与安全,量子通信与安全,核心量子企业
之江实验室,浙江; 33,2020,2023,17,129,7.588235294117647,量子传感；量子基础概念；量子计算；量子计算硬件,其他量子相关/待复核；量子传感器/精密测量；量子计算硬件/量子芯片；量子计算系统,MOT；NV色心；laser；superposition；光调制器；光量子计算；单光子探测器；叠加态；激光器；离子阱；超高真空；量子传感；量子态；量子比特；量子电路；量子算法；量子精密测量；量子计算；量子计算机；量子门；金刚石NV色心,5,11,1,0,量子传感器/精密测量,量子传感,核心量子企业
九零八图案公司,美国; US,2020,2020,1,5,5.0,量子计算硬件,量子计算硬件/量子芯片,离子阱,0,1,0,0,量子计算硬件/量子芯片,量子计算硬件,候选/待复核企业
于利奇研究中心有限公司,德国; DE,2019,2019,1,12,12.0,量子计算硬件,量子计算硬件/量子芯片,拓扑量子计算；超高真空；量子计算；量子计算机,1,0,0,0,量子计算硬件/量子芯片,量子计算硬件,较高相关企业
京东数科海益信息科技有限公司,北京; 11,2021,2021,1,4,4.0,量子基础概念,其他量子相关/待复核,量子态,0,0,1,0,其他量子相关/待复核,量子基础概念,候选/待复核企业
京瓷帝基廷公司,芬兰; FI,2020,2020,2,6,3.0,量子传感,量子计量/时间频率/PNT候选,频率基准,0,0,0,2,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
仁通融合(南京)信息技术有限公司,江苏; 32,2023,2023,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟,0,0,0,1,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
付涛,青海; 63,2022,2022,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟,0,0,0,1,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
代傲表计系统有限公司,德国; DE,2019,2019,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率基准,0,0,0,1,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
代尔夫特理工大学,荷兰; NL,2019,2019,1,10,10.0,量子传感,量子计算系统,qubit；量子信息,1,0,0,0,量子计算系统,量子传感,较高相关企业
任子行网络技术股份有限公司,广东; 44,2020,2020,1,5,5.0,量子通信与安全,量子通信与安全,抗量子攻击,0,1,0,0,量子通信与安全,量子通信与安全,候选/待复核企业
佛山科学技术学院,广东; 44,2019,2021,3,14,4.666666666666667,量子基础概念；量子计算硬件,其他量子相关/待复核；量子计算硬件/量子芯片,叠加态；离子阱,0,2,1,0,量子计算硬件/量子芯片,量子计算硬件,较高相关企业
佛山赛思禅科技有限公司,广东; 44,2023,2023,1,14,14.0,量子通信与安全,量子通信与安全,量子密钥；量子态；量子通信,1,0,0,0,量子通信与安全,量子通信与安全,较高相关企业
全球能源互联网研究院有限公司,北京; 11,2019,2020,5,50,10.0,量子通信与安全,量子通信与安全,单光子探测器；量子密钥；量子密钥分配；量子态；量子网络；量子通信,3,2,0,0,量子通信与安全,量子通信与安全,核心量子企业
全链通有限公司,北京; 11,2019,2019,2,10,5.0,量子计算；量子通信与安全,量子计算系统；量子通信与安全,抗量子攻击；量子计算；量子计算机,0,2,0,0,量子计算系统,量子计算,较高相关企业
公安部第三研究所,上海; 31,2023,2023,1,5,5.0,量子计算,量子计算系统,量子计算,0,1,0,0,量子计算系统,量子计算,候选/待复核企业
兰州空间技术物理研究所,甘肃; 62,2020,2022,4,12,3.0,量子传感,量子计量/时间频率/PNT候选,冷原子钟；原子钟；铯原子钟；铷原子钟,0,0,0,4,量子计量/时间频率/PNT候选,量子传感,较高相关企业
典基网络科技(上海)有限公司,上海; 31,2023,2023,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥,0,1,0,0,量子通信与安全,量子通信与安全,候选/待复核企业
军事科学院系统工程研究院网络信息研究所,北京; 11,2019,2023,27,347,12.851851851851851,量子传感；量子基础概念；量子计算；量子通信与安全,其他量子相关/待复核；量子传感器/精密测量；量子计算系统；量子计量/时间频率/PNT候选；量子通信与安全,entanglement；fidelity；laser；lasers；qubit；单光子探测器；原子钟；激光器；量子中继；量子互联网；量子传感；量子传感器；量子保密通信；量子信息；量子信息技术；量子密钥；量子密钥分发；量子态；量子比特；量子测量；量子精密测量；量子纠缠；量子网络；量子通信,19,6,2,0,量子通信与安全,量子通信与安全,核心量子企业
势加透博洁净动力如皋有限公司,江苏; 32,2022,2022,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率基准,0,0,0,1,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
北京中创为南京量子通信技术有限公司,江苏; 32,2019,2021,31,197,6.354838709677419,量子通信与安全,量子通信与安全,QKD；laser；激光器；量子保密通信；量子密钥；量子密钥分发；量子态；量子通信,9,22,0,0,量子通信与安全,量子通信与安全,核心量子企业
北京中科国光量子科技有限公司,北京; 11,2022,2023,33,303,9.181818181818182,量子基础概念；量子通信与安全,其他量子相关/待复核；量子通信与安全,QKD；laser；lasers；单光子探测器；激光器；量子安全通信；量子密钥；量子密钥分发；量子态；量子芯片,22,7,4,0,量子通信与安全,量子通信与安全,核心量子企业
北京中科弧光量子软件技术有限公司,北京; 11,2022,2023,7,58,8.285714285714286,量子传感；量子计算,量子传感器/精密测量；量子计算系统,qubits；保真度；量子机器学习；量子比特；量子测量；量子线路；量子计算；量子计算机；量子门,5,0,2,0,量子计算系统,量子计算,核心量子企业
北京交通大学,北京; 11,2021,2023,2,6,3.0,量子传感,量子计量/时间频率/PNT候选,时间频率传递；频率标准,0,0,0,2,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
北京信息科学技术研究院,北京; 11,2019,2019,2,14,7.0,量子计算,量子计算系统,叠加态；量子叠加；量子计算；量子计算机,1,1,0,0,量子计算系统,量子计算,较高相关企业
北京信息科技大学,北京; 11,2019,2019,2,14,7.0,量子通信与安全,量子通信与安全,量子密钥；量子密钥分发；量子态,1,1,0,0,量子通信与安全,量子通信与安全,较高相关企业
北京信而泰科技股份有限公司,北京; 11,2019,2019,2,17,8.5,量子通信与安全,量子通信与安全,fidelity；保真度；量子密钥；量子通信,1,1,0,0,量子通信与安全,量子通信与安全,较高相关企业
北京华信泰科技股份有限公司,北京; 11,2022,2022,2,6,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟,0,0,0,2,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
北京华航无线电测量研究所,北京; 11,2021,2021,1,4,4.0,量子基础概念,其他量子相关/待复核,量子态,0,0,1,0,其他量子相关/待复核,量子基础概念,候选/待复核企业
北京卓越航导科技有限责任公司,北京; 11,2021,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子时标,0,0,0,1,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
北京卫星导航中心,北京; 11,2020,2021,3,9,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟；原子钟频率；铯原子钟,0,0,0,3,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
北京卫星环境工程研究所,北京; 11,2021,2021,2,12,6.0,量子传感,量子传感器/精密测量,NV色心；laser；金刚石NV色心,0,2,0,0,量子传感器/精密测量,量子传感,较高相关企业
北京印刷学院,北京; 11,2021,2022,2,25,12.5,量子基础概念；量子通信与安全,其他量子相关/待复核；量子通信与安全,entanglement；量子态；量子比特；量子测量；量子网络,1,0,1,0,其他量子相关/待复核,量子基础概念,核心量子企业
北京启源问天量子科技有限公司,北京; 11,2023,2023,1,5,5.0,量子通信与安全,量子通信与安全,量子通信,0,1,0,0,量子通信与安全,量子通信与安全,候选/待复核企业
北京启衡星生物科技有限公司,北京; 11,2020,2021,2,10,5.0,量子计算,量子计算系统,qubit,0,2,0,0,量子计算系统,量子计算,较高相关企业
北京国盾量子信息技术有限公司,北京; 11,2019,2021,7,50,7.142857142857143,量子通信与安全,量子通信与安全,laser；单光子探测器；激光器；量子密钥；量子密钥分发；量子网络；量子通信,2,5,0,0,量子通信与安全,量子通信与安全,核心量子企业
