第一申请人,year,quantum_patent_count,quantum_score_sum,quantum_score_mean,main_categories,chain_positions,matched_terms,high_related_count,medium_related_count,low_related_count,timefreq_candidate_count
中国海洋大学,2021,1,16,16.0,量子通信与安全,量子通信与安全,fidelity；保真度；量子保密通信；量子信息；量子信息技术；量子态；量子通信,1,0,0,0
中国海洋大学,2022,3,51,17.0,量子通信与安全,量子通信与安全,entanglement；量子信息；量子态；量子纠缠；量子网络；量子通信,3,0,0,0
中国电信股份有限公司,2019,4,20,5.0,量子通信与安全,量子通信与安全,QKD；量子密钥；量子密钥分发；量子密钥分配,0,4,0,0
中国电信股份有限公司,2020,1,9,9.0,量子通信与安全,量子通信与安全,量子密钥；量子密钥分发；量子态,1,0,0,0
中国电信股份有限公司,2021,1,5,5.0,量子通信与安全,量子通信与安全,QKD；量子密钥；量子密钥分发,0,1,0,0
中国电信股份有限公司,2022,4,20,5.0,量子计算；量子通信与安全,量子软件/算法/模拟；量子通信与安全,量子密钥；量子模拟,0,4,0,0
中国电力科学研究院有限公司,2019,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率标准,0,0,0,1
中国电力科学研究院有限公司,2022,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率基准,0,0,0,1
中国电力科学研究院有限公司,2023,1,11,11.0,量子传感,量子传感器/精密测量,NV色心；laser；量子测量；金刚石NV色心,1,0,0,0
中国电子技术标准化研究院,2021,1,10,10.0,量子计算,量子计算系统,fidelity；保真度；量子比特；量子计算,1,0,0,0
中国电子技术标准化研究院,2023,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟,0,0,0,1
中国电子科技集团公司信息科学研究院,2021,2,15,7.5,量子通信与安全,量子通信与安全,QKD；量子保密通信；量子密钥；量子密钥分发,1,1,0,0
中国电子科技集团公司电子科学研究院,2019,8,53,6.625,量子通信与安全,量子通信与安全,单光子探测器；量子保密通信；量子密钥；量子密钥分发,2,6,0,0
中国电子科技集团公司第三十九研究所,2020,2,10,5.0,量子传感,量子传感器/精密测量,量子精密测量,0,2,0,0
中国电子科技集团公司第三十六研究所,2021,2,6,3.0,量子传感,量子计量/时间频率/PNT候选,频率基准,0,0,0,2
中国电子科技集团公司第三十四研究所,2022,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率驾驭,0,0,0,1
中国电子科技集团公司第三十研究所,2019,8,40,5.0,量子计算；量子通信与安全,量子计算系统；量子通信与安全,QKD；量子密钥；量子密钥分发；量子计算；量子计算机,0,8,0,0
中国电子科技集团公司第三十研究所,2020,11,65,5.909090909090909,量子基础概念；量子通信与安全,其他量子相关/待复核；量子通信与安全,QKD；laser；量子保密通信；量子密钥；量子密钥分发；量子态,2,7,2,0
中国电子科技集团公司第三十研究所,2021,5,26,5.2,量子计算；量子通信与安全,量子计算系统；量子通信与安全,QKD；lasers；激光器；量子密钥；量子密钥分发；量子计算；量子计算机,0,5,0,0
中国电子科技集团公司第三十研究所,2022,9,45,5.0,量子通信与安全,量子通信与安全,QKD；量子密钥；量子密钥分发,0,9,0,0
中国电子科技集团公司第二十九研究所,2019,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟；原子钟频率；铷原子钟,0,0,0,1
中国电子科技集团公司第二十九研究所,2022,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟,0,0,0,1
中国电子科技集团公司第五十四研究所,2019,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟,0,0,0,1
中国电子科技集团公司第五十四研究所,2020,3,9,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟；原子频标；铷原子钟,0,0,0,3
中国电子科技集团公司第五十四研究所,2021,4,12,3.0,量子传感,量子计量/时间频率/PNT候选,光钟；原子钟；时间频率传递,0,0,0,4
中国电子科技集团公司第五十四研究所,2022,3,9,3.0,量子传感,量子计量/时间频率/PNT候选,时间频率传递；频率基准；频率标准,0,0,0,3
中国电子科技集团公司第十三研究所,2021,2,11,5.5,量子传感,量子传感器/精密测量,NV色心；laser；金刚石NV色心,0,2,0,0
中国电子科技集团公司第十三研究所,2022,3,18,6.0,量子传感,量子传感器/精密测量,NV色心；laser；光调制器；激光器；金刚石NV色心,0,3,0,0
中国电子科技集团公司第十二研究所,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟；铯原子钟,0,0,0,1
中国电子科技集团公司第四十一研究所,2021,1,8,8.0,量子传感,上游材料与核心部件,单光子探测器；量子信息；量子信息技术,1,0,0,0
中国电子科技集团公司第四十四研究所,2019,2,6,3.0,量子传感,量子计量/时间频率/PNT候选,光纤频率传递；时间频率传输,0,0,0,2
中国电波传播研究所(中国电子科技集团公司第二十二研究所),2020,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟,0,0,0,1
中国石油化工股份有限公司,2020,1,5,5.0,量子计算,量子计算系统,量子电路,0,1,0,0
中国科学技术大学,2019,21,158,7.523809523809524,量子传感；量子基础概念；量子计算；量子计算硬件；量子通信与安全,其他量子相关/待复核；量子传感器/精密测量；量子计算硬件/量子芯片；量子计算系统；量子通信与安全,NV色心；fidelity；laser；qubit；superposition；保真度；原子干涉；叠加态；激光器；离子阱；超导量子比特；量子传感；量子传感器；量子密钥；量子密钥分发；量子密钥分配；量子态；量子比特；量子纠缠；量子芯片；量子计算；量子通信；量子门,6,11,4,0
中国科学技术大学,2020,19,141,7.421052631578948,量子传感；量子计算；量子计算硬件；量子通信与安全,量子传感器/精密测量；量子计算硬件/量子芯片；量子计算系统；量子通信与安全,NV色心；laser；lasers；光调制器；单光子探测器；囚禁离子；激光器；磁光阱；离子阱；自旋量子比特；超导量子比特；量子处理器；量子密钥；量子密钥分发；量子密钥分配；量子态；量子比特；量子芯片；金刚石NV色心,7,12,0,0
中国科学技术大学,2021,16,124,7.75,量子传感；量子基础概念；量子计算；量子计算硬件；量子通信与安全,上游材料与核心部件；其他量子相关/待复核；量子传感器/精密测量；量子计算硬件/量子芯片；量子计算系统；量子通信与安全,NV色心；entanglement；fidelity；laser；superposition；保真度；叠加态；磁光阱；离子阱；超导量子比特；量子保密通信；量子信息；量子叠加；量子处理器；量子密钥；量子密钥分发；量子态；量子比特；量子纠缠；量子线路；量子计算；量子计算机；量子通信；量子门,7,7,2,0
中国科学技术大学,2022,12,94,7.833333333333333,量子传感；量子基础概念；量子计算；量子计算硬件；量子通信与安全,其他量子相关/待复核；量子传感器/精密测量；量子计算硬件/量子芯片；量子计算系统；量子通信与安全,NV色心；laser；单光子探测器；激光器；超导量子比特；量子传感；量子信息；量子信息技术；量子密钥；量子密钥分发；量子态；量子比特；量子线路；量子计算；量子计算机；量子通信；量子门；金刚石NV色心,5,5,2,0
中国科学技术大学,2023,10,96,9.6,量子传感；量子基础概念；量子计算；量子计算硬件；量子通信与安全,其他量子相关/待复核；量子传感器/精密测量；量子计算硬件/量子芯片；量子计算系统；量子通信与安全,NV色心；QKD；fidelity；laser；lasers；qubit；qubits；保真度；单光子探测器；稀释制冷机；超导量子比特；里德堡原子量子；量子信息；量子密钥；量子密钥分发；量子态；量子比特；量子纠缠；量子芯片；量子计算；量子计算机；量子通信；金刚石NV色心,4,5,1,0
中国科学院上海光学精密机械研究所,2019,3,12,4.0,量子传感,量子传感器/精密测量；量子计量/时间频率/PNT候选,laser；原子干涉；原子干涉仪；原子钟；原子钟频率；铷原子钟；频率标准,0,1,0,2
中国科学院上海光学精密机械研究所,2021,3,11,3.6666666666666665,量子传感,量子传感器/精密测量；量子计量/时间频率/PNT候选,时间频率传递；磁光阱；频率标准,0,1,0,2
中国科学院上海光学精密机械研究所,2022,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,冷原子钟；原子钟,0,0,0,1
