第一申请人,第一申请人地区,第一申请人城市,year,quantum_patent_count,quantum_score_sum,quantum_score_mean,main_categories,chain_positions,matched_terms,high_related_count,medium_related_count,low_related_count,timefreq_candidate_count,first_applicant_types
国网天津市电力公司电力科学研究院,中国,天津市,2023,2,10,5.0,量子通信与安全,量子通信与安全,量子密钥,0,2,0,0,"企业,学校"
国网安徽省电力公司电力科学研究院,中国,合肥,2024,1,5,5.0,量子传感,量子传感器/精密测量,量子传感；量子传感器,0,1,0,0,企业
国网安徽省电力公司电力科学研究院,中国,合肥市,2023,2,10,5.0,量子传感,量子传感器/精密测量,量子传感；量子传感器,0,2,0,0,企业
国网安徽省电力有限公司信息通信分公司,中国,南京,2024,1,13,13.0,量子通信与安全,量子通信与安全,单光子探测器；量子密钥；量子密钥分配；量子比特,1,0,0,0,企业
国网安徽省电力有限公司信息通信分公司,中国,南京,2025,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥,0,1,0,0,"企业,企业,企业"
国网安徽省电力有限公司信息通信分公司,中国,合肥,2024,1,14,14.0,量子计算,量子计算系统,量子态；量子比特；量子计算,1,0,0,0,企业
国网安徽省电力有限公司信息通信分公司,中国,合肥,2025,2,10,5.0,量子通信与安全,量子通信与安全,量子密钥；量子密钥分发,0,2,0,0,"企业；企业,企业"
国网安徽省电力有限公司信息通信分公司,中国,合肥市,2022,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥；量子密钥分发,0,1,0,0,企业
国网安徽省电力有限公司六安市叶集供电公司,中国,六安,2024,1,10,10.0,量子计算,量子计算系统,量子比特；量子门,1,0,0,0,企业
国网安徽省电力有限公司合肥供电公司,中国,合肥,2024,1,23,23.0,量子传感,量子传感器/精密测量,量子态；量子比特；量子测量；量子算法；量子计算,1,0,0,0,企业
国网安徽省电力有限公司合肥供电公司,中国,合肥,2025,1,14,14.0,量子通信与安全,量子通信与安全,量子密钥；量子密钥分发；量子纠缠；量子通信,1,0,0,0,企业
国网安徽省电力有限公司电力科学研究院,中国,合肥,2024,2,20,10.0,量子传感,量子传感器/精密测量,NV色心；量子传感；量子传感器；量子精密测量；金刚石NV色心,2,0,0,0,企业
国网安徽省电力有限公司电力科学研究院,中国,合肥,2025,2,10,5.0,量子传感,量子传感器/精密测量,NV色心；量子传感；量子传感器,0,2,0,0,企业
国网安徽省电力有限公司电力科学研究院,中国,合肥市,2023,8,45,5.625,量子传感,量子传感器/精密测量,NV色心；量子传感；量子传感器；量子精密测量；金刚石NV色心,1,7,0,0,企业
国网安徽省电力有限公司经济技术研究院,中国,合肥,2024,1,8,8.0,量子传感,量子传感器/精密测量,量子测量；量子线路,1,0,0,0,企业
国网安徽省电力有限公司营销服务中心,中国,合肥,2024,1,5,5.0,量子通信与安全,量子通信与安全,量子通信,0,1,0,0,企业
国网山东省电力公司临沂供电公司,中国,临沂市,2023,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥,0,1,0,0,企业
国网山东省电力公司信息通信公司,中国,济南市,2022,2,13,6.5,量子传感；量子通信与安全,量子计量/时间频率/PNT候选；量子通信与安全,原子钟；量子密钥；量子通信；铯原子钟,1,0,0,1,企业
国网山东省电力公司电力科学研究院,中国,济南,2025,1,5,5.0,量子计算,量子计算系统,量子计算,0,1,0,0,企业
国网山东省电力公司菏泽供电公司,中国,菏泽市,2022,1,5,5.0,量子计算,量子计算系统,量子比特,0,1,0,0,企业
国网山东省电力公司营销服务中心(计量中心),中国,济南,2025,1,5,5.0,量子传感,量子传感器/精密测量,NV色心；金刚石NV色心,0,1,0,0,企业
国网山西省电力公司临汾供电公司,中国,临汾市,2023,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率基准,0,0,0,1,企业
国网山西省电力公司电力科学研究院,中国,太原,2025,1,5,5.0,量子计算,量子计算系统,量子计算,0,1,0,0,企业
国网山西省电力公司经济技术研究院,中国,太原,2024,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率基准,0,0,0,1,企业
国网新疆电力有限公司信息通信公司,中国,乌鲁木齐市,2023,2,30,15.0,量子通信与安全,量子通信与安全,QKD；量子保密通信；量子密钥；量子密钥分发；量子密钥分配；量子比特；量子网络；量子通信,2,0,0,0,企业
国网新疆电力有限公司经济技术研究院,中国,乌鲁木齐市,2021,1,5,5.0,量子计算,量子计算系统,量子比特,0,1,0,0,企业
