period,keyword,tfidf_score,frequency,document_count,document_share,period_order,document_share_change,tfidf_score_change,document_share_growth_rate
2026-05_06,duty trucks steel,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
2026-01_02,duty trucks steel mills,0.011569,3.0,2.0,0.095238,0,0.0,0.0,95238.00000000001
2026-03_04,duty trucks steel mills,0.0,0.0,0.0,0.0,1,-0.095238,-0.011569,-0.9999895000997491
2026-05_06,duty trucks steel mills,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
2026-01_02,edge fuel cell,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2026-03_04,edge fuel cell,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0
2026-05_06,edge fuel cell,0.131444,26.0,2.0,0.133333,2,0.133333,0.131444,133333.0
2026-01_02,electric fuel cell,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2026-03_04,electric fuel cell,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0
2026-05_06,electric fuel cell,0.074555,8.0,1.0,0.066667,2,0.066667,0.074555,66667.00000000001
2026-01_02,electrolysis,0.277781,88.0,9.0,0.428571,0,0.0,0.0,428571.0
2026-03_04,electrolysis,0.539795,154.0,9.0,0.428571,1,0.0,0.262014,0.0
2026-05_06,electrolysis,0.305874,116.0,9.0,0.6,2,0.171429,-0.23392100000000005,0.4000004666660446
2026-01_02,electrolyzer,0.43209,145.0,9.0,0.428571,0,0.0,0.0,428571.0
2026-03_04,electrolyzer,0.318177,94.0,9.0,0.428571,1,0.0,-0.11391299999999999,0.0
2026-05_06,electrolyzer,0.334422,91.0,7.0,0.466667,2,0.03809600000000002,0.01624500000000001,0.08889054814593589
2026-01_02,energy hydrogen,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2026-03_04,energy hydrogen,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0
2026-05_06,energy hydrogen,0.022584,5.0,1.0,0.066667,2,0.066667,0.022584,66667.00000000001
2026-01_02,energy infrastructure,0.120982,24.0,2.0,0.095238,0,0.0,0.0,95238.00000000001
2026-03_04,energy infrastructure,0.0,0.0,0.0,0.0,1,-0.095238,-0.120982,-0.9999895000997491
2026-05_06,energy infrastructure,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
2026-01_02,energy storage,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2026-03_04,energy storage,0.185644,30.0,3.0,0.142857,1,0.142857,0.185644,142857.00000000003
2026-05_06,energy storage,0.096137,14.0,2.0,0.133333,2,-0.009524000000000005,-0.089507,-0.06666759999440008
2026-01_02,ev hydrogen,0.06129,1.0,1.0,0.047619,0,0.0,0.0,47619.00000000001
2026-03_04,ev hydrogen,0.0,0.0,0.0,0.0,1,-0.047619,-0.06129,-0.9999790004199915
2026-05_06,ev hydrogen,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
2026-01_02,exporting hydrogen,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2026-03_04,exporting hydrogen,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0
2026-05_06,exporting hydrogen,0.065144,12.0,2.0,0.133333,2,0.133333,0.065144,133333.0
2026-01_02,fast refueling,0.072933,10.0,2.0,0.095238,0,0.0,0.0,95238.00000000001
2026-03_04,fast refueling,0.0,0.0,0.0,0.0,1,-0.095238,-0.072933,-0.9999895000997491
2026-05_06,fast refueling,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
2026-01_02,federal hydrogen,0.097022,20.0,2.0,0.095238,0,0.0,0.0,95238.00000000001
2026-03_04,federal hydrogen,0.0,0.0,0.0,0.0,1,-0.095238,-0.097022,-0.9999895000997491
2026-05_06,federal hydrogen,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
2026-01_02,fuel cell,0.887055,266.0,13.0,0.619048,0,0.0,0.0,619048.0000000001
2026-03_04,fuel cell,1.001737,294.0,12.0,0.571429,1,-0.04761900000000008,0.11468200000000006,-0.07692282840292142
2026-05_06,fuel cell,0.768939,320.0,9.0,0.6,2,0.028571000000000013,-0.23279800000000006,0.04999912500218762
