第一申请人,主体类型,省级地区,第一申请人城市标准化,year,biomanufacturing_patent_count,biomanufacturing_score_sum,biomanufacturing_score_mean,main_categories,main_sub_categories,report_tech_routes,firm_main_category,firm_main_sub_category,firm_main_report_tech_route,type_review_count
上海侬本雅生物科技有限公司,企业,上海,上海,2024,1,3,3.0,生物过程与规模化,下游分离纯化,生物过程与规模化,生物过程与规模化,下游分离纯化,生物过程与规模化,0
上海倍谙基生物科技有限公司,企业,上海,上海,2021,1,2,2.0,产品与应用,高值活性分子,生物制造产品与应用,产品与应用,高值活性分子,生物制造产品与应用,0
上海健士拜生物科技有限公司,企业,上海,上海,2023,2,8,4.0,代谢工程与细胞工厂；生物过程与规模化,细胞工厂；下游分离纯化,细胞工厂与菌株工程；生物过程与规模化,代谢工程与细胞工厂,细胞工厂,细胞工厂与菌株工程,0
上海健康医学院,高校,上海,上海,2021,2,5,2.5,产品与应用；生物过程与规模化,高值活性分子；下游分离纯化,生物制造产品与应用；生物过程与规模化,产品与应用,高值活性分子,生物制造产品与应用,0
上海健康医学院,高校,上海,上海,2023,2,8,4.0,酶与蛋白质工程；代谢工程与细胞工厂,酶工程；表达系统,酶与蛋白质工程；细胞工厂与菌株工程,酶与蛋白质工程,酶工程,酶与蛋白质工程,0
上海健康医学院,高校,上海,上海,2024,1,4,4.0,代谢工程与细胞工厂,表达系统,细胞工厂与菌株工程,代谢工程与细胞工厂,表达系统,细胞工厂与菌株工程,0
上海傲江生态环境科技有限公司,企业,上海,上海,2021,1,2,2.0,产品与应用,生物能源与燃料,生物制造产品与应用,产品与应用,生物能源与燃料,生物制造产品与应用,0
上海傲睿科技有限公司,企业,上海,上海,2022,1,4,4.0,测试筛选与自动化,微流控与单细胞筛选,生物设计、读写与自动化工具,测试筛选与自动化,微流控与单细胞筛选,生物设计、读写与自动化工具,0
上海傲睿科技有限公司,企业,上海,上海,2025,2,8,4.0,测试筛选与自动化,微流控与单细胞筛选,生物设计、读写与自动化工具,测试筛选与自动化,微流控与单细胞筛选,生物设计、读写与自动化工具,0
上海儒克生物科技有限公司,企业,上海,上海,2023,1,4,4.0,酶与蛋白质工程,蛋白质工程,酶与蛋白质工程,酶与蛋白质工程,蛋白质工程,酶与蛋白质工程,0
上海儒克生物科技有限公司,企业,上海,上海,2024,1,4,4.0,酶与蛋白质工程,蛋白质工程,酶与蛋白质工程,酶与蛋白质工程,蛋白质工程,酶与蛋白质工程,0
上海元戊医学技术有限公司,企业,上海,上海,2024,2,6,3.0,前沿生物制造,干细胞与细胞规模制造,前沿制造与基础支撑,前沿生物制造,干细胞与细胞规模制造,前沿制造与基础支撑,0
上海兆维科技发展有限公司,企业,上海,上海,2025,1,2,2.0,产品与应用,高值活性分子,生物制造产品与应用,产品与应用,高值活性分子,生物制造产品与应用,0
上海光玥生物科技有限公司,企业,上海,上海,2023,1,2,2.0,产品与应用,高值活性分子,生物制造产品与应用,产品与应用,高值活性分子,生物制造产品与应用,0
上海光玥生物科技有限公司,企业,上海,上海,2025,1,4,4.0,代谢工程与细胞工厂,表达系统,细胞工厂与菌株工程,代谢工程与细胞工厂,表达系统,细胞工厂与菌株工程,0
上海公路桥梁(集团)有限公司,企业,上海,上海,2022,1,4,4.0,生物过程与规模化,发酵工程,生物过程与规模化,生物过程与规模化,发酵工程,生物过程与规模化,0
上海六合堂生物科技有限公司,企业,上海,上海,2021,2,8,4.0,生物过程与规模化,发酵工程,生物过程与规模化,生物过程与规模化,发酵工程,生物过程与规模化,0
上海兰之美雅化妆品有限公司,企业,上海,上海,2025,1,4,4.0,生物过程与规模化,发酵工程,生物过程与规模化,生物过程与规模化,发酵工程,生物过程与规模化,0
上海共得健康科技集团有限公司,企业,上海,上海,2022,1,2,2.0,产品与应用,高值活性分子,生物制造产品与应用,产品与应用,高值活性分子,生物制造产品与应用,0
上海共得健康科技集团有限公司,企业,上海,上海,2024,1,3,3.0,生物过程与规模化,生物反应器,生物过程与规模化,生物过程与规模化,生物反应器,生物过程与规模化,0
上海兴瑞一达生物科技有限公司,企业,上海,上海,2025,1,2,2.0,产品与应用,高值活性分子,生物制造产品与应用,产品与应用,高值活性分子,生物制造产品与应用,0
上海农乐生物制品股份有限公司,企业,上海,上海,2022,3,11,3.6666666666666665,生物过程与规模化,发酵工程；生物反应器,生物过程与规模化,生物过程与规模化,发酵工程,生物过程与规模化,0
上海农乐生物制品股份有限公司,企业,上海,上海,2023,3,9,3.0,生物过程与规模化；产品与应用,发酵工程；氨基酸与有机酸发酵产品,生物过程与规模化；生物制造产品与应用,生物过程与规模化,发酵工程,生物过程与规模化,0
上海凯圣生物科技有限公司,企业,上海,上海,2022,1,4,4.0,生物过程与规模化,发酵工程,生物过程与规模化,生物过程与规模化,发酵工程,生物过程与规模化,0
上海凯宝药业股份有限公司,企业,上海,上海,2022,1,4,4.0,酶与蛋白质工程,生物催化,酶与蛋白质工程,酶与蛋白质工程,生物催化,酶与蛋白质工程,0
