第一申请人,主体类型,省级地区,第一申请人城市标准化,year,quantum_patent_count,quantum_score_sum,quantum_score_mean,main_categories,main_quantum_category,type_review_count
中国科学院上海技术物理研究所,科研院所,上海,上海,2022,1,5,5.0,量子通信与安全,量子通信与安全,0
中国科学院上海技术物理研究所,科研院所,上海,上海,2023,3,15,5.0,量子通信与安全,量子通信与安全,0
中国科学院上海技术物理研究所,科研院所,上海,上海,2025,2,8,4.0,量子通信与安全；量子传感,量子通信与安全,0
中国科学院微小卫星创新研究院,科研院所,上海,上海,2021,4,14,3.5,量子通信与安全；量子传感,量子传感,0
中国科学院微小卫星创新研究院,科研院所,上海,上海,2022,2,6,3.0,量子传感,量子传感,0
中国科学院微小卫星创新研究院,科研院所,上海,上海,2023,1,3,3.0,量子传感,量子传感,0
中国科学院微小卫星创新研究院,科研院所,上海,上海,2024,3,9,3.0,量子传感,量子传感,0
中国船舶重工集团公司第七0四研究所,科研院所,上海,上海,2024,1,3,3.0,量子传感,量子传感,0
中国银联股份有限公司,企业,上海,上海,2025,3,34,11.333333333333334,量子计算；量子通信与安全,量子计算,0
中广核数字科技有限公司,企业,上海,上海,2025,1,3,3.0,量子传感,量子传感,0
交通运输部东海航海保障中心上海海事测绘中心,其他,上海,上海,2025,1,3,3.0,量子传感,量子传感,0
公安部第三研究所,科研院所,上海,上海,2024,1,5,5.0,量子计算,量子计算,0
典基网络科技(上海)有限公司,企业,上海,上海,2023,1,5,5.0,量子通信与安全,量子通信与安全,0
华东师范大学,高校,上海,上海,2021,6,46,7.666666666666667,量子基础概念；量子传感；量子计算硬件,量子传感,0
华东师范大学,高校,上海,上海,2022,1,6,6.0,量子传感,量子传感,0
华东师范大学,高校,上海,上海,2023,3,12,4.0,量子传感,量子传感,0
华东师范大学,高校,上海,上海,2024,2,35,17.5,量子计算,量子计算,0
华东师范大学,高校,上海,上海,2025,3,14,4.666666666666667,量子计算；量子传感,量子传感,0
华东理工大学,高校,上海,上海,2025,1,5,5.0,量子传感,量子传感,0
华东计算技术研究所(中国电子科技集团公司第三十二研究所),科研院所,上海,上海,2021,2,24,12.0,量子计算硬件；量子计算,量子计算硬件,0
华东计算技术研究所(中国电子科技集团公司第三十二研究所),科研院所,上海,上海,2022,2,20,10.0,量子计算硬件；量子通信与安全,量子计算硬件,0
华东计算技术研究所(中国电子科技集团公司第三十二研究所),科研院所,上海,上海,2024,5,53,10.6,量子计算硬件；量子计算,量子计算,0
华东计算技术研究所(中国电子科技集团公司第三十二研究所),科研院所,上海,上海,2025,1,15,15.0,量子计算硬件,量子计算硬件,0
同济大学,高校,上海,上海,2022,4,20,5.0,量子传感；量子通信与安全,量子传感,0
咪咕视讯科技有限公司,企业,上海,上海,2023,1,3,3.0,量子传感,量子传感,0
国科量子通信网络有限公司,企业,上海,上海,2021,8,54,6.75,量子通信与安全,量子通信与安全,0
国科量子通信网络有限公司,企业,上海,上海,2022,7,100,14.285714285714286,量子通信与安全,量子通信与安全,0
